"";"Driver";"year";"race";"raceID";"race_ID";"Start";"Mid Race";"Finish";"High Pos.";"Low Pos.";"Avg. Pos.";"Pass Diff.";"Green Flag Passes";"Green Flag Times Passed";"Quality Passes";"Pct. Quality Passes";"Fastest Lap";"Top 15 Laps";"Pct. Top 15 Laps";"Laps Led";"Pct. Laps Led";"Total Laps";"Driver Rating"
"270";"Timmy Hill";"2021";"07";"07_2021";"2021_07";"20";"27";"30";"6";"37";"29";"-33";"44";"77";"0";"0.0";"0";"1";"0.4";"0";"0.0";"248";"33.5"
"271";"Alex Labbe";"2021";"07";"07_2021";"2021_07";"22";"23";"31";"7";"37";"21";"17";"63";"46";"16";"25.4";"0";"90";"36.3";"0";"0.0";"248";"58.3"
"272";"Jesse Little";"2021";"07";"07_2021";"2021_07";"21";"35";"32";"3";"39";"30";"-61";"31";"92";"3";"9.7";"0";"11";"4.5";"0";"0.0";"245";"30.5"
"273";"Matt Mills";"2021";"07";"07_2021";"2021_07";"36";"38";"33";"33";"40";"38";"5";"5";"0";"0";"0.0";"0";"0";"0.0";"0";"0.0";"241";"33.0"
"274";"Tommy Joe Martins";"2021";"07";"07_2021";"2021_07";"17";"3";"34";"1";"37";"22";"-25";"36";"61";"14";"38.9";"0";"92";"39.8";"5";"2.2";"231";"65.5"
"275";"Blaine Perkins";"2021";"07";"07_2021";"2021_07";"32";"39";"35";"6";"39";"31";"3";"32";"29";"5";"15.6";"0";"29";"12.8";"0";"0.0";"226";"35.3"
"276";"Jeffrey Earnhardt";"2021";"07";"07_2021";"2021_07";"18";"26";"36";"5";"33";"24";"-32";"38";"70";"6";"15.8";"0";"23";"10.8";"0";"0.0";"213";"47.0"
"277";"Landon Cassill";"2021";"07";"07_2021";"2021_07";"14";"24";"37";"12";"34";"27";"-39";"28";"67";"0";"0.0";"0";"10";"5.1";"0";"0.0";"197";"35.8"
"278";"Joe Graf, Jr.";"2021";"07";"07_2021";"2021_07";"28";"33";"38";"9";"37";"29";"-35";"36";"71";"5";"13.9";"0";"17";"9.5";"0";"0.0";"179";"35.2"
"279";"Colby Howard";"2021";"07";"07_2021";"2021_07";"23";"16";"39";"11";"38";"32";"-17";"33";"50";"13";"39.4";"1";"19";"12.4";"0";"0.0";"153";"45.2"
"280";"Ryan Vargas";"2021";"07";"07_2021";"2021_07";"35";"40";"40";"12";"37";"36";"-6";"27";"33";"1";"3.7";"0";"6";"6.2";"0";"0.0";"97";"30.2"
"281";"Jeb Burton";"2021";"08";"08_2021";"2021_08";"9";"5";"1";"1";"31";"6";"-7";"165";"172";"142";"86.1";"0";"84";"93.3";"20";"22.2";"90";"117.4"
"282";"Austin Cindric";"2021";"08";"08_2021";"2021_08";"1";"1";"2";"1";"31";"4";"-7";"148";"155";"113";"76.4";"4";"87";"96.7";"24";"26.7";"90";"121.4"
"283";"A.J. Allmendinger";"2021";"08";"08_2021";"2021_08";"11";"4";"3";"2";"36";"11";"22";"219";"197";"156";"71.2";"5";"72";"80.0";"0";"0.0";"90";"103.8"
"284";"Riley Herbst";"2021";"08";"08_2021";"2021_08";"19";"11";"4";"3";"34";"13";"-7";"223";"230";"152";"68.2";"4";"60";"66.7";"0";"0.0";"90";"95.0"
"285";"Ryan Sieg";"2021";"08";"08_2021";"2021_08";"17";"22";"5";"1";"37";"23";"41";"119";"78";"26";"21.8";"4";"19";"21.1";"1";"1.1";"90";"77.7"
"286";"Noah Gragson";"2021";"08";"08_2021";"2021_08";"4";"6";"6";"1";"32";"8";"7";"202";"195";"161";"79.7";"4";"78";"86.7";"8";"8.9";"90";"109.0"
"287";"Brandon Brown";"2021";"08";"08_2021";"2021_08";"18";"7";"7";"1";"30";"13";"11";"211";"200";"143";"67.8";"5";"63";"70.0";"1";"1.1";"90";"92.0"
"288";"Justin Haley";"2021";"08";"08_2021";"2021_08";"5";"2";"8";"1";"33";"8";"-17";"179";"196";"149";"83.2";"1";"81";"90.0";"2";"2.2";"90";"102.3"
"289";"Myatt Snider";"2021";"08";"08_2021";"2021_08";"10";"8";"9";"1";"26";"9";"-18";"215";"233";"165";"76.7";"1";"85";"94.4";"3";"3.3";"90";"103.3"
"290";"Harrison Burton";"2021";"08";"08_2021";"2021_08";"3";"12";"10";"1";"23";"7";"-17";"173";"190";"142";"82.1";"1";"84";"93.3";"6";"6.7";"90";"104.0"
"291";"Tommy Joe Martins";"2021";"08";"08_2021";"2021_08";"23";"26";"11";"5";"35";"21";"-9";"87";"96";"13";"14.9";"2";"10";"11.1";"0";"0.0";"90";"71.8"
"292";"Daniel Hemric";"2021";"08";"08_2021";"2021_08";"2";"9";"12";"1";"24";"8";"-19";"172";"191";"140";"81.4";"0";"84";"93.3";"18";"20.0";"90";"105.0"
